('Tax Provision', '18,061,000', '14,527,000', '9,680,000', '10,481,000', '13,372,000')
         515312 function calls (496468 primitive calls) in 7.897 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      270    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
       11    0.001    0.000    0.010    0.001 element.py:779(_find_all)
      422    0.001    0.000    0.002    0.000 __init__.py:592(object_was_parsed)
      160    0.001    0.000    2.165    0.014 ssl.py:1262(recv_into)
    199/3    0.001    0.000    0.200    0.067 <frozen importlib._bootstrap>:1022(_find_and_load)
      160    0.001    0.000    2.166    0.014 socket.py:691(readinto)
      181    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     3685    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
    52/14    0.001    0.000    0.013    0.001 css_parser.py:925(parse_selectors)
     1352    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
3056/2988    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      306    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
     4144    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      176    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      882    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
       12    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     1866    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
     7694    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      422    0.001    0.000    0.002    0.000 element.py:934(__new__)
    176/3    0.001    0.000    0.200    0.067 <frozen importlib._bootstrap>:664(_load_unlocked)
      240    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      995    0.001    0.000    0.001    0.000 sre_compile.py:423(_simple)
     1243    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
    198/3    0.001    0.000    0.200    0.067 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      192    0.001    0.000    0.069    0.000 sre_parse.py:939(parse)
     2186    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      160    0.001    0.000    2.164    0.014 ssl.py:1120(read)
        1    0.001    0.001    0.001    0.001 {built-in method _hashlib.openssl_md5}
     1243    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
     2729    0.001    0.000    0.001    0.000 {built-in method builtins.max}
       77    0.001    0.000    0.005    0.000 css_parser.py:474(parse_attribute_selector)
     1265    0.001    0.000    0.001    0.000 element.py:2059(_normalize_search_value)
      366    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
      882    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       12    0.000    0.000    0.001    0.000 __init__.py:328(namedtuple)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      298    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      174    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
      792    0.000    0.000    0.001    0.000 typing.py:986(__setattr__)
      270    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
     1242    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     2340    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     2340    0.000    0.000    0.001    0.000 abc.py:117(__instancecheck__)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     4437    0.000    0.000    0.000    0.000 element.py:1532(__bool__)
      149    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     1995    0.000    0.000    0.004    0.000 {built-in method builtins.next}
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       18    0.000    0.000    0.465    0.026 __init__.py:1(<module>)
      601    0.000    0.000    0.004    0.000 enum.py:359(__call__)
     3793    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      412    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      192    0.000    0.000    0.001    0.000 enum.py:986(__and__)
     4500    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      149    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       97    0.000    0.000    0.002    0.000 typing.py:1016(__init__)
      422    0.000    0.000    0.000    0.000 __init__.py:495(string_container)
      149    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      591    0.000    0.000    0.001    0.000 enum.py:678(__new__)
     1173    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
     2434    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
        1    0.000    0.000    7.698    7.698 financial.py:41(run)
       10    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
       16    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      320    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
      781    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1319    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
    149/3    0.000    0.000    0.200    0.067 <frozen importlib._bootstrap_external>:877(exec_module)
      192    0.000    0.000    0.038    0.000 sre_compile.py:598(_code)
  622/605    0.000    0.000    0.004    0.000 typing.py:306(inner)
       16    0.000    0.000    0.001    0.000 enum.py:222(<setcomp>)
    151/1    0.000    0.000    7.897    7.897 {built-in method builtins.exec}
     1915    0.000    0.000    0.000    0.000 element.py:1906(descendants)
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
  211/178    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      192    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       21    0.000    0.000    1.439    0.069 response.py:776(read_chunked)
      424    0.000    0.000    0.001    0.000 _htmlparser.py:195(handle_data)
      961    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      465    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      176    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       68    0.000    0.000    0.007    0.000 _htmlparser.py:107(handle_startendtag)
      323    0.000    0.000    0.000    0.000 types.py:176(__get__)
      192    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      978    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
  638/608    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       12    0.000    0.000    0.001    0.000 enum.py:1026(_decompose)
