('Tax Provision', '18,061,000', '14,527,000', '9,680,000', '10,481,000', '13,372,000')
         515243 function calls (496398 primitive calls) in 1.613 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.001    0.000    0.011    0.001 element.py:779(_find_all)
    199/3    0.001    0.000    0.197    0.066 <frozen importlib._bootstrap>:1022(_find_and_load)
     1242    0.001    0.000    0.001    0.000 element.py:1317(is_empty_element)
      181    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
       12    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
    52/14    0.001    0.000    0.013    0.001 css_parser.py:925(parse_selectors)
      306    0.001    0.000    0.001    0.000 enum.py:89(__setitem__)
     3685    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
3054/2986    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1352    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
     4144    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      157    0.001    0.000    0.927    0.006 ssl.py:1262(recv_into)
      157    0.001    0.000    0.929    0.006 socket.py:691(readinto)
     7694    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      882    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
      240    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    176/3    0.001    0.000    0.196    0.065 <frozen importlib._bootstrap>:664(_load_unlocked)
     1265    0.001    0.000    0.001    0.000 element.py:2059(_normalize_search_value)
      422    0.001    0.000    0.002    0.000 element.py:934(__new__)
      176    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     1866    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
      995    0.001    0.000    0.001    0.000 sre_compile.py:423(_simple)
    198/3    0.001    0.000    0.197    0.066 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     2186    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.001    0.001    0.001    0.001 {built-in method _hashlib.openssl_md5}
     1243    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
      192    0.001    0.000    0.067    0.000 sre_parse.py:939(parse)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
     2729    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1243    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
       12    0.001    0.000    0.001    0.000 __init__.py:328(namedtuple)
      157    0.000    0.000    0.927    0.006 ssl.py:1120(read)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
     1242    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
      792    0.000    0.000    0.001    0.000 typing.py:986(__setattr__)
     2340    0.000    0.000    0.001    0.000 abc.py:117(__instancecheck__)
      298    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      270    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
       77    0.000    0.000    0.004    0.000 css_parser.py:474(parse_attribute_selector)
     2340    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      149    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     1995    0.000    0.000    0.004    0.000 {built-in method builtins.next}
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      882    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     4437    0.000    0.000    0.000    0.000 element.py:1532(__bool__)
      174    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
      366    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
       18    0.000    0.000    0.459    0.026 __init__.py:1(<module>)
       97    0.000    0.000    0.002    0.000 typing.py:1016(__init__)
      601    0.000    0.000    0.004    0.000 enum.py:359(__call__)
     4499    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     3793    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      192    0.000    0.000    0.001    0.000 enum.py:986(__and__)
     1173    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
      149    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       10    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      422    0.000    0.000    0.000    0.000 __init__.py:495(string_container)
     2434    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     1915    0.000    0.000    0.000    0.000 element.py:1906(descendants)
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
      412    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      320    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      149    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      192    0.000    0.000    0.038    0.000 sre_compile.py:598(_code)
       16    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
    151/1    0.000    0.000    1.613    1.613 {built-in method builtins.exec}
      591    0.000    0.000    0.001    0.000 enum.py:678(__new__)
    149/3    0.000    0.000    0.196    0.065 <frozen importlib._bootstrap_external>:877(exec_module)
      961    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1319    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      192    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       16    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
  211/178    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
  622/605    0.000    0.000    0.004    0.000 typing.py:306(inner)
      953    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       16    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      781    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      424    0.000    0.000    0.001    0.000 _htmlparser.py:195(handle_data)
      465    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
       16    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      323    0.000    0.000    0.000    0.000 types.py:176(__get__)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
      978    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      792    0.000    0.000    0.000    0.000 typing.py:935(_is_dunder)
      699    0.000    0.000    0.000    0.000 element.py:1489(get)
       12    0.000    0.000    0.001    0.000 enum.py:1026(_decompose)
      978    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       21    0.000    0.000    0.433    0.021 response.py:776(read_chunked)
      176    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
      197    0.000    0.000    0.000    0.000 __init__.py:77(find_spec)
       80    0.000    0.000    0.002    0.000 parser.py:122(set_cdata_mode)
     1342    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      192    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:397(freeze)
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
       68    0.000    0.000    0.006    0.000 _htmlparser.py:107(handle_startendtag)
  638/608    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      725    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
     1324    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      167    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      426    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      233    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      358    0.000    0.000    0.001    0.000 os.py:674(__getitem__)
      306    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
      156    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
        3    0.000    0.000    0.015    0.005 utils.py:1(<module>)
      596    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      305    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      368    0.000    0.000    0.001    0.000 _collections_abc.py:904(__iter__)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      335    0.000    0.000    0.110    0.000 re.py:249(compile)
     1726    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      387    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      192    0.000    0.000    0.000    0.000 sre_parse.py:923(fix_flags)
       97    0.000    0.000    0.001    0.000 enum.py:980(__or__)
      384    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       98    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
        1    0.000    0.000    1.417    1.417 financial.py:6(parse)
       39    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      157    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     1591    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
     1417    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      226    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    224/3    0.000    0.000    0.195    0.065 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       31    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      199    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.000    0.000 ssl.py:1330(_real_close)
       21    0.000    0.000    0.418    0.020 response.py:754(_handle_chunk)
      181    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      157    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      358    0.000    0.000    0.000    0.000 os.py:754(encode)
     1417    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       75    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
  150/149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      158    0.000    0.000    0.000    0.000 socket.py:730(readable)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      261    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      237    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      306    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
        1    0.000    0.000    0.349    0.349 connection.py:356(connect)
       21    0.000    0.000    0.014    0.001 response.py:397(_decode)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      745    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       19    0.000    0.000    0.000    0.000 ipaddress.py:1468(__init__)
      692    0.000    0.000    0.000    0.000 os.py:758(decode)
       51    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
    89/54    0.000    0.000    0.117    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        2    0.000    0.000    0.002    0.001 core.py:1(<module>)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      998    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      193    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
      306    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       25    0.000    0.000    0.418    0.017 client.py:623(_safe_read)
       31    0.000    0.000    0.001    0.000 typing.py:483(Union)
        1    0.000    0.000    0.005    0.005 ssl_.py:250(create_urllib3_context)
      317    0.000    0.000    0.000    0.000 ssl.py:1108(_checkClosed)
        2    0.000    0.000    0.001    0.000 request.py:2488(getproxies_environment)
      335    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      218    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      199    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
        2    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       63    0.000    0.000    0.000    0.000 element.py:810(<genexpr>)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
        8    0.000    0.000    0.000    0.000 message.py:462(get)
       10    0.000    0.000    0.003    0.000 enum.py:483(_create_)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:986(update)
       38    0.000    0.000    0.001    0.000 typing.py:1137(__getitem__)
      481    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       42    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       29    0.000    0.000    0.000    0.000 ipaddress.py:1609(_ip_int_from_string)
      505    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      323    0.000    0.000    0.000    0.000 enum.py:801(value)
    43/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        1    0.000    0.000    0.026    0.026 dammit.py:67(EntitySubstitution)
      810    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       12    0.000    0.000    0.001    0.000 enum.py:947(_create_pseudo_member_)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
  428/426    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       12    0.000    0.000    0.000    0.000 queue.py:154(get)
       18    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
      467    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.095    0.095 __init__.py:120(__init__)
      270    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
    42/30    0.000    0.000    0.010    0.000 css_parser.py:581(parse_pseudo_class)
      197    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
    39/18    0.000    0.000    0.141    0.008 {built-in method builtins.__import__}
        3    0.000    0.000    0.006    0.002 request.py:1(<module>)
       31    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
        8    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
      402    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
