('Tax Provision', '18,061,000', '14,527,000', '9,680,000', '10,481,000', '13,372,000')
         686607 function calls (658497 primitive calls) in 2.108 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1242    0.002    0.000    0.005    0.000 __init__.py:660(_popToTag)
     1242    0.002    0.000    0.004    0.000 element.py:2192(_matches)
     1242    0.002    0.000    0.002    0.000 __init__.py:530(popTag)
     1242    0.001    0.000    0.012    0.000 _htmlparser.py:177(handle_endtag)
     1242    0.001    0.000    0.011    0.000 __init__.py:735(handle_endtag)
     1242    0.001    0.000    0.004    0.000 parser.py:351(check_for_whole_start_tag)
     1242    0.001    0.000    0.001    0.000 element.py:1317(is_empty_element)
     1242    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     1173    0.003    0.000    0.016    0.000 parser.py:385(parse_endtag)
     1173    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
     1172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1167    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
     1102    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
     1092    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
     1089    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     1006    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      966    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      956    0.001    0.000    0.001    0.000 _exceptions.py:5(map_exceptions)
      955    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      953    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x5645afed59a0}
      944    0.003    0.000    0.005    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
      905    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      899    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      889    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      879    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
  878/874    0.010    0.000    0.099    0.000 {built-in method builtins.__build_class__}
      868    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
      816    0.002    0.000    0.004    0.000 typing.py:146(_type_check)
      803    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      803    0.001    0.000    0.001    0.000 _connection.py:182(their_state)
      762    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      736    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      730    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      699    0.000    0.000    0.000    0.000 element.py:1489(get)
      674    0.000    0.000    0.005    0.000 enum.py:359(__call__)
      661    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      635    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      635    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      630    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      609    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      598    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
      597    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:391(cached)
      596    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      586    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      586    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      562    0.000    0.000    0.000    0.000 typing.py:1241(__eq__)
      544    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      544    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      544    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      541    0.000    0.000    0.002    0.000 typing.py:515(<genexpr>)
      539    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      538    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      532    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      527    0.002    0.000    0.002    0.000 sre_compile.py:413(<listcomp>)
      527    0.001    0.000    0.003    0.000 sre_compile.py:411(_mk_bitmap)
      527    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      485    0.003    0.000    0.003    0.000 contextlib.py:102(__init__)
      485    0.002    0.000    0.004    0.000 contextlib.py:139(__exit__)
      485    0.001    0.000    0.005    0.000 contextlib.py:279(helper)
      485    0.001    0.000    0.002    0.000 contextlib.py:130(__enter__)
      476    0.001    0.000    0.001    0.000 sre_parse.py:84(opengroup)
      476    0.000    0.000    0.008    0.000 sre_parse.py:96(closegroup)
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
      462    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
      462    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      462    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
      461    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      460    0.001    0.000    0.001    0.000 typing.py:206(_collect_type_vars)
      454    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      442    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      433    0.002    0.000    0.008    0.000 typing.py:1016(__init__)
      433    0.000    0.000    0.003    0.000 typing.py:947(__init__)
      426    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      424    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      424    0.000    0.000    0.000    0.000 _htmlparser.py:195(handle_data)
      422    0.001    0.000    0.002    0.000 __init__.py:592(object_was_parsed)
      422    0.001    0.000    0.002    0.000 element.py:934(__new__)
      422    0.000    0.000    0.000    0.000 __init__.py:495(string_container)
    415/3    0.000    0.000    0.325    0.108 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      409    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      388    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      385    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      384    0.000    0.000    0.000    0.000 typing.py:714(__hash__)
      371    0.002    0.000    0.156    0.000 re.py:288(_compile)
      369    0.000    0.000    0.157    0.000 re.py:249(compile)
      363    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
    361/3    0.001    0.000    0.326    0.109 <frozen importlib._bootstrap>:1022(_find_and_load)
      361    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:169(__enter__)
      361    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      361    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
    360/3    0.001    0.000    0.325    0.108 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      360    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      360    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      360    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
  356/317    0.003    0.000    0.048    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      356    0.000    0.000    0.001    0.000 __init__.py:77(find_spec)
      356    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
      356    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
      356    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
    349/1    0.005    0.000    2.108    2.108 {built-in method builtins.exec}
      348    0.000    0.000    0.000    0.000 os.py:758(decode)
      338    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      338    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      338    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      337    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      330    0.000    0.000    0.001    0.000 typing.py:1142(<genexpr>)
  326/324    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    326/3    0.001    0.000    0.325    0.108 <frozen importlib._bootstrap>:664(_load_unlocked)
      326    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      326    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
      324    0.001    0.000    0.001    0.000 _events.py:85(__eq__)
      321    0.001    0.000    0.001    0.000 _decoders.py:173(decode)
      321    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      320    0.001    0.000    0.002    0.000 _receivebuffer.py:76(maybe_extract_at_most)
      318    0.003    0.000    0.027    0.000 _connection.py:382(next_event)
      318    0.002    0.000    0.016    0.000 _connection.py:356(_extract_next_receive_event)
  317/316    0.003    0.000    0.011    0.000 _readers.py:137(__call__)
      313    0.000    0.000    0.000    0.000 ssl.py:1108(_checkClosed)
      312    0.001    0.000    0.001    0.000 _receivebuffer.py:59(__len__)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      304    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      304    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      304    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      299    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
  294/293    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
    293/3    0.001    0.000    0.325    0.108 <frozen importlib._bootstrap_external>:877(exec_module)
      293    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
      293    0.004    0.000    0.004    0.000 {built-in method io.open_code}
      293    0.002    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      293    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      293    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      293    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      293    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      293    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      293    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      293    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      293    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      287    0.000    0.000    0.000    0.000 types.py:176(__get__)
      287    0.000    0.000    0.000    0.000 enum.py:801(value)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      268    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      263    0.000    0.000    0.000    0.000 typing.py:219(<listcomp>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
  244/204    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
      244    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      239    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
  232/231    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
  231/160    0.000    0.000    0.007    0.000 typing.py:401(__getitem__)
      228    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      227    0.001    0.000    0.153    0.001 sre_compile.py:759(compile)
      227    0.001    0.000    0.095    0.000 sre_parse.py:939(parse)
      227    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
      227    0.000    0.000    0.056    0.000 sre_compile.py:598(_code)
      227    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      227    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      227    0.000    0.000    0.000    0.000 sre_parse.py:923(fix_flags)
      227    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
   217/83    0.000    0.000    0.194    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      202    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      201    0.000    0.000    0.004    0.000 typing.py:1146(copy_with)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
      189    0.001    0.000    0.001    0.000 _receivebuffer.py:66(_extract)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      189    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      185    0.000    0.000    0.000    0.000 os.py:754(encode)
      185    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
      183    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      177    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      174    0.000    0.000    0.000    0.000 os.py:697(__iter__)
      174    0.000    0.000    0.000    0.000 _collections_abc.py:904(__iter__)
      173    0.000    0.000    0.000    0.000 typing.py:223(_check_generic)
      170    0.000    0.000    0.000    0.000 _connection.py:175(our_state)
      168    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
      166    0.001    0.000    0.001    0.000 _state.py:246(_fire_event_triggered_transitions)
      166    0.001    0.000    0.001    0.000 _connection.py:292(_respond_to_state_changes)
      165    0.004    0.000    0.005    0.000 _events.py:31(__init__)
      165    0.002    0.000    0.007    0.000 _connection.py:230(_process_event)
      165    0.002    0.000    0.002    0.000 _state.py:258(_fire_state_triggered_transitions)
      165    0.001    0.000    0.003    0.000 _state.py:226(process_event)
      165    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
      165    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
      165    0.000    0.000    0.000    0.000 dataclasses.py:426(<genexpr>)
      163    0.000    0.000    0.000    0.000 _events.py:73(_validate)
      162    0.005    0.000    1.324    0.008 http11.py:171(_receive_event)
      162    0.000    0.000    0.000    0.000 _connection.py:218(_server_switch_event)
